mz,name
788.5593,PC-O(38:8)
788.5593,PC-P(38:7)
788.6168,PE(39:1)
788.6169,PC(36:1)
788.653,PC-O(37:1)
788.6532,PC-P(37:0)
788.6764,TG(46:4)
788.6766,TG(46:4)
788.6767,TG(46:4)
789.6845,SM(40:0)
790.538,PE(40:7)
790.5386,PE(40:7)
790.5742,PC-O(38:7)
790.5744,PC-P(38:6)
790.5749,PC-P(38:6)
790.575,PC-O(38:7)
790.6325,PE(39:0)
790.6326,PC(36:0)
790.6689,PC-O(37:0)
790.6923,TG(46:3)
790.6923,TG(46:3)
790.6923,TG(46:3)
791.5584,PA(43:6)
792.5537,PC(37:6) or PE(40:6)
792.5901,PC-O(38:6) or PC-P(38:5)
792.5906,PC-O(38:6) or PC-P(38:5)
792.7077,TG(46:2)
792.708,TG(46:2)
793.5741,PA(43:5)
793.6218,SM(41:5)
794.5694,PC(37:5)
