"targets.name","targets.mz","nearest_mz","mz_deviation","signal"
"Cer(42:10)",632.5032,632.5115,-0.00829999999996289,0
"DG(36:5)",632.5248,632.5222,0.00260000000002947,552.522291532449
"Cer(41:3)",632.5976,632.5976,0,0
"PA(31:1)",633.4492,633.4492,0,0
"SM(29:1)",633.4964,633.4964,0,0
"DG-H20(38:1)",633.5818,633.5818,0,0
"PE(28:1)",634.4447,634.4535,-0.00879999999995107,259674.004647007
"PC-O(26:1)",634.4809,634.4891,-0.00819999999998799,0
"Cer(42:9)",634.5188,634.5267,-0.00789999999994961,11.8522761808723
"DG(36:4)",634.5409,634.5425,-0.00160000000005311,1974.40098948306
"Cer(41:2)",634.613,634.613,0,0
"PA(31:0)",635.4651,635.4574,0.00769999999999982,74970.7019234768
"DG-H20(39:7)",635.503,635.503,0,0
"SM(29:0)",635.5123,635.5123,0,0
"DG-H20(38:0)",635.5978,635.5938,0.0040000000000191,1334.17661269464
"PC(25:0) or PE(28:0)",636.4604,636.4574,0.00300000000004275,8758.97612197398
"PC-O(26:0)",636.4968,636.5055,-0.00869999999997617,0
"Cer(42:8)",636.5345,636.5568,-0.0222999999999729,14524.1181345639
"DG(36:3)",636.5566,NA,NA,14524.1181345639
"Cer(41:1)",636.6289,636.6289,0,0
"PA(32:6)",637.3863,637.3863,0,0
"DG-H20(39:6)",637.5189,637.5189,0,0
"DG(36:2)",638.5723,638.5724,-9.99999999748979e-05,23749.1964117442
"PA(32:5)",639.402,639.402,0,0
"SM(30:5)",639.4497,639.4497,0,0
"DG-H20(39:5)",639.5346,639.5294,0.00519999999994525,3660.68884132578
"DG(36:1)",640.5879,640.603,-0.0150999999999613,1095034.00968618
"CE(16:1)",640.6024,640.6043,-0.00189999999997781,1095034.00968618
"PA(32:4)",641.4182,641.4182,0,0
"SM(30:4)",641.4654,641.4593,0.00610000000006039,7141.75123435881
"Cer(42:5)",642.582,642.5918,-0.00980000000004111,0
"DG(36:0)",642.6036,642.6187,-0.0150999999999613,1069667.30687545
"CE(16:0)",642.6183,642.617,0.00130000000001473,1069667.30687545
"PA(32:3)",643.4338,643.4338,0,0
"SM(30:3)",643.481,643.4962,-0.0152000000000498,17876.8931329484
"DG-H20(39:3)",643.5664,643.5591,0.00730000000010023,157.006590274198
"DG(37:6)",644.5247,644.5178,0.00690000000008695,0
"Cer(42:4)",644.5976,644.606,-0.00839999999993779,0
"PA(32:2)",645.4495,645.4561,-0.00660000000004857,1962.66717780449
"DG-H20(40:9)",645.4876,645.496,-0.00839999999993779,269.798379434122
"SM(30:2)",645.4967,645.496,0.000700000000051659,269.798379434122
"DG-H20(39:2)",645.5821,645.5722,0.00990000000001601,46.2841935961054
"PC-P(27:1)",646.4808,646.4808,0,0
"DG(37:5)",646.5404,646.536,0.00440000000003238,511.877827315971
"Cer(42:3)",646.6133,646.6133,0,0
"PA(32:1)",647.4649,647.4585,0.00639999999998508,40551.9644157929
"DG-H20(40:8)",647.5033,647.5033,0,0
"SM(30:1)",647.5123,647.5123,0,0
"DG-H20(39:1)",647.5977,647.5893,0.00840000000005148,4.35223265734461
"PE(29:1)",648.4601,NA,NA,100561.548192341
"PC-O(27:1)",648.4965,648.494,0.00249999999994088,0
"DG(37:4)",648.5566,648.566,-0.00940000000002783,271.696140267586
"Cer(42:2)",648.6289,648.6269,0.00200000000006639,506.947565610677
"PA(32:0)",649.4807,649.4696,0.0110999999999422,28298.3323987729
"DG-H20(40:7)",649.5189,649.5189,0,0
"SM(30:0)",649.528,649.528,0,0
"DG-H20(39:0)",649.6134,649.6048,0.00860000000000127,366.052185950914
"PE(29:0)",650.476,650.4663,0.00969999999995252,0
"PC-O(27:0)",650.5124,650.5124,0,0
"DG(37:3)",650.5722,650.5809,-0.00870000000008986,478.12239156095
"Cer(42:1)",650.6446,650.6454,-0.000800000000026557,2314.93992135421
"DG-H20(40:6)",651.5346,651.5346,0,0
"DG-H20(40:5)",653.5503,653.5503,0,0
"PE(30:5)",654.4134,654.4186,-0.00519999999994525,227.978014146959
"DG(38:8)",654.5096,654.5096,0,2099.92438688386
"Cer(43:6)",654.5814,654.5814,0,0
"DG(37:1)",654.6033,654.6205,-0.0172000000000025,22799.3986776471
"CE(17:1)",654.618,NA,NA,22799.3986776471
"PE(30:4)",656.4291,656.4291,0,0
"PC-P(28:3)",656.4654,656.4654,0,0
"DG(38:7)",656.5245,656.5167,0.00779999999997472,195.139133749923
"DG(38:7)",656.5253,656.5167,0.00860000000000127,195.139133749923
"TG(36:0)**IS",656.5828,NA,NA,1794707.05697848
"Cer(43:5)",656.5971,656.5819,0.0151999999999362,1794707.05697848
"DG(37:0)",656.6192,656.6324,-0.0131999999999834,1934.47192737277
"CE(17:0)",656.6339,656.6288,0.00510000000008404,1934.47192737277
"PA(33:3)",657.4494,657.4494,0,0
"DG-H20(40:3)",657.5821,657.585,-0.00290000000006785,602952.379415843
"PE(30:3)",658.4447,658.4532,-0.00850000000002638,0
"PC-O(28:3) or PC-P(28:2)",658.4811,658.4722,0.00889999999992597,679.734770812077
"Cer(44:11)",658.5183,658.5261,-0.0078000000000884,0
"DG(38:6)",658.5404,658.5403,9.99999999748979e-05,504.317516104238
"PA(33:2)",659.4651,659.4561,0.00900000000001455,474.104860069262
"DG-H20(40:2)",659.5975,NA,NA,4482.4271378803
"PE(30:2)",660.4604,660.4678,-0.00739999999996144,320.724794130068
"PC-P(28:1)",660.4967,660.4877,0.00900000000001455,0
"DG(38:5)",660.5561,660.556,9.99999999748979e-05,506.053120365413
"PA(33:1)",661.4805,661.4732,0.00729999999998654,0
"SM(31:1)",661.5277,661.539,-0.0113000000000056,15225.7022499884
"DG-H20(40:1)",661.6134,661.6134,0,0
"PC(27:1)",662.4758,662.4758,0,0
"PC-O(28:1) or PC-P(28:0)",662.5124,662.5211,-0.00870000000008986,0
"DG(38:4)",662.5723,662.5813,-0.00900000000001455,858.742197452342
"PA(33:0)",663.4964,663.4969,-0.000499999999988177,260.442356418919
"SM(31:0)",663.5436,663.5281,0.0154999999999745,3693.8246053483
"DG-H20(40:0)",663.6291,663.6291,0,0
"PC(27:0) or PE(30:0)",664.4917,664.483,0.00870000000008986,239.718087291394
"PC-O(28:0)",664.5281,664.5348,-0.00670000000002346,283.439426731419
"DG(38:3)",664.5879,664.6038,-0.0158999999999878,386894.485258713
"CE(18:3)",664.6026,664.6014,0.00120000000003984,386894.485258713
"PA(34:6)",665.4176,665.4176,0,0
"SM(32:6)",665.4648,665.4594,0.00540000000000873,44800.4244344036
"CE(18:2)",666.6183,666.6156,0.00270000000000437,11791536.8582986
"Cer(43:0)",666.6759,666.6857,-0.00980000000004111,0
"PA(34:5)",667.4333,667.4415,-0.00819999999998799,169.112674197635
"SM(32:5)",667.4805,667.4805,0,0
"DG-H20(41:5)",667.5664,667.5745,-0.00809999999989941,270.443438555743
"Cer(44:6)",668.5976,668.6056,-0.00799999999992451,53.0469179526791
"DG(38:1)",668.6189,668.6339,-0.0149999999999864,2337698.22046639
"CE(18:1)",668.6339,NA,NA,2337698.22046639
"PA(34:4)",669.4495,669.4495,0,0
"DG-H20(42:11)",669.4876,669.4876,0,0
"SM(32:4)",669.4967,669.4967,0,0
"DG-H20(41:4)",669.5821,669.5821,0,0
"DG(39:7)",670.5401,670.5476,-0.00749999999993634,0
"TG(37:0)",670.5984,670.606,-0.00760000000002492,0
"Cer(44:5)",670.6133,670.6408,-0.0275000000000318,210577.869610908
"DG(38:0)",670.6349,670.6421,-0.00720000000001164,210577.869610908
"CE(18:0)",670.6496,670.6421,0.00749999999993634,210577.869610908
"PA(34:3)",671.4649,671.4655,-0.000600000000076761,603.396140267973
"DG-H20(42:10)",671.5033,671.5035,-0.000200000000063483,0
"SM(32:3)",671.5123,671.5035,0.00879999999995107,0
"DG-H20(41:3)",671.5977,671.5734,0.0243000000000393,239272.939840701
"PC(28:3)",672.4604,NA,NA,4801.87289767404
"DG(39:6)",672.556,672.5778,-0.0217999999999847,107208.165392948
"Cer(44:4)",672.6289,672.6289,0,0
"PA(34:2)",673.4808,673.4808,0,0
"DG-H20(42:9)",673.5189,673.5299,-0.0109999999999673,987.055975089465
"SM(32:2)",673.528,673.5299,-0.00189999999997781,987.055975089465
"DG-H20(41:2)",673.6131,673.6049,0.00819999999998799,350.825765449218
"PC(28:2)",674.4761,674.4643,0.0117999999999938,36731.883393519
"PC-P(29:1)",674.5121,674.5044,0.00769999999999982,970.664248919151
