mz,name
698.4765,PE(33:3)-H-_PC(30:3)-H-
698.6457,Cer(46:4)-H-
699.3796,PA(34:6)+Cl-
699.4008,PG(28:1)+Cl-
699.4241,PA(32:4)+AcO-
699.4275,SM(32:6)+Cl-
699.472,SM(30:4)+AcO-
699.4969,PA(36:2)-H-
699.5448,SM(34:2)-H-
700.3961,PS(27:0)+Cl-
700.4196,PS(30:3)-H-
700.4921,PE(33:2)-H-_PC(30:2)-H-
700.5886,Cer(42:5)+AcO-
700.638,Cer(43:0)+Cl-
701.3953,PA(34:5)+Cl-
701.4164,PG(28:0)+Cl-
701.4398,PA(32:3)+AcO-
701.4432,SM(32:5)+Cl-
701.4877,SM(30:3)+AcO-
701.5125,PA(36:1)-H-
701.5604,SM(34:1)-H-
702.4352,PS(30:2)-H-
702.5079,PC(30:1)-H-_PE(33:1)-H-
702.5597,Cer(44:6)+Cl-
702.6042,Cer(42:4)+AcO-
703.4109,PA(34:4)+Cl-
703.4554,PA(32:2)+AcO-
703.4588,SM(32:4)+Cl-
703.5033,SM(30:2)+AcO-
703.5282,PA(36:0)-H-
703.5761,SM(34:0)-H-
704.4509,PS(30:1)-H-
704.5235,PE(33:0)-H-_PC(30:0)-H-
704.5753,Cer(44:5)+Cl-
704.6198,Cer(42:3)+AcO-
704.6926,Cer(46:1)-H-
705.3386,PI(22:0)+Cl-
705.4266,PA(34:3)+Cl-
705.4499,PA(37:6)-H-
705.471,PA(32:1)+AcO-
705.4745,SM(32:3)+Cl-
705.519,SM(30:1)+AcO-
706.4219,PC(28:3)+Cl-
706.4453,PE(34:6)-H-
706.4664,PC(26:1)+AcO-_PE(29:1)+AcO-
706.591,Cer(44:4)+Cl-
706.6355,Cer(42:2)+AcO-
706.7083,Cer(46:0)-H-
707.4422,PA(34:2)+Cl-
707.4656,PA(37:5)-H-
707.4867,PA(32:0)+AcO-
707.4901,SM(32:2)+Cl-
707.5135,SM(35:5)-H-
707.5346,SM(30:0)+AcO-
708.3649,PS(28:3)+Cl-
708.4094,PS(26:1)+AcO-
708.4375,PC(28:2)+Cl-
708.461,PE(34:5)-H-
708.4819,PE(29:0)+AcO-_PC(26:0)+AcO-
708.6067,Cer(44:3)+Cl-
708.6511,Cer(42:1)+AcO-
709.4085,PG(32:6)-H-
709.4296,PG(27:1)+AcO-
709.4578,PA(34:1)+Cl-
709.4812,PA(37:4)-H-
709.5057,SM(32:1)+Cl-
709.5291,SM(35:4)-H-
710.3805,PS(28:2)+Cl-
710.425,PS(26:0)+AcO-
710.4531,PE(31:1)+Cl-_PC(28:1)+Cl-
710.4765,PE(34:4)-H-
710.6668,Cer(42:0)+AcO-
711.409,PI(25:0)-H-
711.4242,PG(32:5)-H-
711.4452,PG(27:0)+AcO-
711.4735,PA(34:0)+Cl-
711.497,PA(37:3)-H-
711.5214,SM(32:0)+Cl-
711.5448,SM(35:3)-H-
712.3962,PS(28:1)+Cl-
712.4194,PE(30:5)+AcO-
