"Molecule_List_Name","Precursor_Name","Precursor_m_z","Precursor_Charge"
"Lipid","DG(38:0)",670.6349,1
"Lipid","CE(18:0)",670.6496,1
"Lipid","PA(34:3)",671.4649,1
"Lipid","DG-H20(42:10)",671.5033,1
"Lipid","SM(32:3)",671.5123,1
"Lipid","DG-H20(41:3)",671.5977,1
"Lipid","PC(28:3)",672.4604,1
"Lipid","DG(39:6)",672.556,1
"Lipid","Cer(44:4)",672.6289,1
"Lipid","PA(34:2)",673.4808,1
"Lipid","DG-H20(42:9)",673.5189,1
"Lipid","SM(32:2)",673.528,1
"Lipid","DG-H20(41:2)",673.6131,1
"Lipid","PC(28:2)",674.4761,1
"Lipid","PC-P(29:1)",674.5121,1
"Lipid","DG(39:5)",674.5717,1
"Lipid","PA(34:1)",675.4962,1
"Lipid","DG-H20(42:8)",675.5346,1
"Lipid","SM(32:1)",675.5434,1
"Lipid","DG-H20(41:1)",675.629,1
"Lipid","PE(31:1)",676.4914,1
"Lipid","PC-O(29:1)",676.5278,1
"Lipid","PA(34:0)",677.5121,1
"Lipid","SM(32:0)",677.5592,1
"Lipid","PE(31:0)",678.5073,1
"Lipid","PC-O(29:0)",678.5437,1
"Lipid","DG(39:3)",678.6035,1
"Lipid","PE(32:6)",680.4285,1
"Lipid","PC-P(30:5)",680.4654,1
"Lipid","DG(40:9)",680.5247,1
"Lipid","CE_oxid(18:3)",680.5975,1
"Lipid","DG(39:2)",680.6192,1
"Lipid","PA(35:5)",681.4494,1
"Lipid","DG-H20(42:5)",681.5821,1
"Lipid","PE(32:5)",682.4442,1
"Lipid","PC-O(30:5) or PC-P(30:4)",682.4811,1
"Lipid","DG(40:8)",682.5404,1
"Lipid","TG(38:1)",682.5982,1
"Lipid","CE_oxid(18:2)",682.6132,1
"Lipid","DG(39:1)",682.6348,1
"Lipid","PA(35:4)",683.4651,1
"Lipid","DG-H20(42:4)",683.5977,1
"Lipid","PE(32:4)",684.4604,1
"Lipid","PC-P(30:3)",684.4967,1
"Lipid","DG(40:7)",684.556,1
"Lipid","TG(38:0)",684.6141,1
"Lipid","DG(39:0)",684.6505,1
"Lipid","PA(35:3)",685.4805,1
"Lipid","SM(33:3)",685.5279,1
"Lipid","DG-H20(42:3)",685.6134,1
"Lipid","PE(32:3)",686.476,1
"Lipid","PC-O(30:3) or PC-P(30:2)",686.5124,1
"Lipid","DG(40:6)",686.5717,1
"Lipid","PA(35:2)",687.4964,1
"Lipid","SM(33:2)",687.5436,1
"Lipid","DG-H20(42:2)",687.629,1
"Lipid","PE(32:2)",688.4917,1
"Lipid","PC-P(30:1)",688.528,1
"Lipid","DG(40:5)",688.5874,1
"Lipid","CE(20:5)",688.6026,1
"Lipid","PA(35:1)",689.512,1
"Lipid","SM(33:1)",689.559,1
"Lipid","DG-H20(42:1)",689.6447,1
"Lipid","PC(29:1) or PE(32:1)",690.5071,1
"Lipid","PC-O(30:1) or PC-P(30:0)",690.5437,1
"Lipid","CE(20:4)",690.6183,1
"Lipid","PA(35:0)",691.5277,1
"Lipid","SM(33:0)",691.5749,1
"Lipid","PE(32:0)",692.5229,1
"Lipid","PC-O(30:0)",692.5594,1
"Lipid","DG(40:3)",692.6192,1
"Lipid","CE(20:3)",692.6339,1
"Lipid","Cer(45:1)",692.6915,1
"Lipid","PA(36:6)",693.4489,1
"Lipid","SM(34:6)",693.4961,1
"Lipid","DG-H20(43:6)",693.5815,1
"Lipid","Cer(46:7)",694.6127,1
"Lipid","DG(40:2)",694.6346,1
"Lipid","PA(36:5)",695.4646,1
"Lipid","SM(34:5)",695.5118,1
"Lipid","DG-H20(43:5)",695.5972,1
"Lipid","PC(30:5)",696.4604,1
"Lipid","TG(39:1)",696.6138,1
"Lipid","Cer(46:6)",696.6284,1
"Lipid","DG(40:1)",696.6505,1
"Lipid","PA(36:4)",697.4807,1
"Lipid","DG-H20(44:11)",697.5184,1
"Lipid","SM(34:4)",697.528,1
"Lipid","PC(30:4)",698.4761,1
"Lipid","TG(39:0)",698.6297,1
"Lipid","DG(40:0)",698.6662,1
"Lipid","PA(36:3)",699.4964,1
"Lipid","SM(34:3)",699.5434,1
"Lipid","PE(33:3)",700.4916,1
"Lipid","PA(36:2)",701.5121,1
"Lipid","SM(34:2)",701.5593,1
"Lipid","PE(33:2)",702.5073,1
"Lipid","PC-P(31:1)",702.5434,1
"Lipid","DG(41:5)",702.6035,1
"Lipid","PA(36:1)",703.5277,1
"Lipid","SM(34:1)",703.5747,1
"Lipid","PE(33:1)",704.5227,1
"Lipid","DG(42:11)",704.5247,1
"Lipid","PC-O(31:1)",704.5591,1
"Lipid","CE_oxid(20:5)",704.5975,1
"Lipid","DG(41:4)",704.6192,1
"Lipid","PA(36:0)",705.5434,1
"Lipid","SM(34:0)",705.5906,1
"Lipid","DG-H20(43:0)",705.676,1
"Lipid","PC-P(32:6)",706.4805,1
"Lipid","PE(33:0)",706.5386,1
"Lipid","DG(42:10)",706.5404,1
"Lipid","PC-O(31:0)",706.575,1
"Lipid","TG(40:3)",706.5984,1
"Lipid","CE_oxid(20:4)",706.6132,1
"Lipid","DG(41:3)",706.6348,1
"Lipid","Cer(46:1)",706.7072,1
"Lipid","PA(37:6)",707.4645,1
"Lipid","DG-H20(44:6)",707.5977,1
"Lipid","PE(34:6)",708.4598,1
"Lipid","PC-O(32:6) or PC-P(32:5)",708.4962,1
"Lipid","DG(42:9)",708.556,1
"Lipid","TG(40:2)",708.6141,1
"Lipid","DG(41:2)",708.6502,1
"Lipid","PA(37:5)",709.4802,1
"Lipid","SM(35:5)",709.5279,1
"Lipid","DG-H20(44:5)",709.6134,1
"Lipid","PE(34:5)",710.4755,1
"Lipid","PC-O(32:5)",710.5119,1
"Lipid","DG(42:8)",710.5717,1
"Lipid","TG(40:1)",710.6297,1
"Lipid","DG(41:1)",710.6661,1
"Lipid","PA(37:4)",711.4964,1
"Lipid","SM(35:4)",711.5436,1
"Lipid","DG-H20(44:4)",711.629,1
"Lipid","PE(34:4)",712.4917,1
"Lipid","PC-P(32:3)",712.528,1
"Lipid","TG(40:0)",712.6454,1
"Lipid","CE(21:0)",712.6965,1
"Lipid","PA(37:3)",713.512,1
"Lipid","SM(35:3)",713.559,1
"Lipid","PE(34:3)",714.5071,1
"Lipid","PC-O(32:3) or PC-P(32:2)",714.5437,1
"Lipid","CE(22:6)",714.6177,1
"Lipid","SM(35:2)",715.5749,1
"Lipid","PE(34:2)",716.523,1
"Lipid","PC-P(32:1)",716.5591,1
"Lipid","DG(42:5)",716.6192,1
"Lipid","CE(22:5)",716.6334,1
"Lipid","PA(38:8)",717.4494,1
"Lipid","PA(37:1)",717.5431,1
"Lipid","SM(35:1)**IS",717.5905,1
"Lipid","PC(31:1) or PE(34:1)",718.5384,1
"Lipid","PC-O(32:1)",718.5748,1
"Lipid","DG(42:4)",718.6348,1
"Lipid","PA(38:7)",719.4643,1
"Lipid","PA(38:7)",719.4651,1
"Lipid","PA(37:0)",719.559,1
"Lipid","SM(35:0)",719.6062,1
"Lipid","PC(31:0) or PE(34:0)",720.5543,1
"Lipid","PC-O(32:0)",720.5906,1
"Lipid","DG(42:3)",720.6505,1
"Lipid","PA(38:6)",721.4802,1
"Lipid","SM(36:6)",721.5274,1
"Lipid","PC(32:6)",722.4755,1
"Lipid","DG(42:2)",722.6661,1
"Lipid","PA(38:5)",723.4959,1
"Lipid","SM(36:5)",723.5431,1
"Lipid","PC(32:5)",724.4912,1
"Lipid","TG(41:1)",724.6451,1
"Lipid","DG(42:1)",724.6818,1
"Lipid","PA(38:4)",725.5121,1
"Lipid","SM(36:4)",725.5592,1
"Lipid","PE(35:4)",726.5073,1
"Lipid","PC-P(33:3)",726.5436,1
"Lipid","TG(41:0)",726.661,1
"Lipid","CE(22:0)",726.7122,1
"Lipid","PA(38:3)",727.5277,1
"Lipid","SM(36:3)",727.5749,1
"Lipid","PE(35:3)",728.5227,1
"Lipid","PC-O(33:3) or PC-P(33:2)",728.5593,1
"Lipid","DG(43:6)",728.6186,1
"Lipid","SM(36:2)",729.5906,1
"Lipid","PE(35:2)",730.5386,1
"Lipid","PC-P(33:1)",730.5747,1
"Lipid","TG(42:5)",730.5984,1
"Lipid","CE_oxid(22:6)",730.6126,1
"Lipid","DG(43:5)",730.6343,1
"Lipid","PA(38:1)",731.5587,1
"Lipid","SM(36:1)",731.6062,1
"Lipid","DG-H20(45:1)",731.6916,1
"Lipid","PC(32:1)",732.5541,1
"Lipid","DG(44:11)",732.5555,1
"Lipid","PC-O(33:1)",732.5904,1
"Lipid","TG(42:4)",732.6141,1
"Lipid","CE_oxid(22:5)",732.6283,1
"Lipid","PA(39:7)",733.4799,1
"Lipid","PA(38:0)",733.5747,1
"Lipid","DG-H20(46:7)",733.6128,1
